
===============================
Processus de l'ordinateur Log - Wed Oct  9 17:00:04 CEST 2024
===============================

USER     PID    CPU%       MEM%   VSZ    RSS    COMMAND
USER     PID    %CPU       %MEM   VSZ    RSS    COMMAND
root     58     0.0        0.0    22100  5844   /lib/systemd/systemd-udevd
root     73     0.0        0.0    152992 188    snapfuse
root     75     0.0        0.0    152992 188    snapfuse
root     87     0.0        0.0    153124 2224   snapfuse
root     99     0.0        0.0    302520 7192   snapfuse
root     105    0.0        0.0    152992 2264   snapfuse
systemd+ 125    0.0        0.1    25540  12544  /lib/systemd/systemd-resolved
root     155    0.0        0.0    4308   2624   /usr/sbin/cron
message+ 157    0.0        0.0    8660   4684   @dbus-daemon
root     165    0.0        0.2    30108  19136  /usr/bin/python3
syslog   166    0.0        0.0    222404 5120   /usr/sbin/rsyslogd
root     174    0.0        0.0    15332  7424   /lib/systemd/systemd-logind
root     249    0.0        0.0    4784   3364   /bin/bash
root     255    0.0        0.2    107232 21292  /usr/bin/python3
root     265    0.0        0.0    3240   1172   /sbin/agetty
root     279    0.0        0.0    3196   1080   /sbin/agetty
root     347    0.0        0.0    2620   124    /init
root     348    0.0        0.0    2620   128    /init
adam     350    0.0        0.0    6176   5200   -bash
root     351    0.0        0.0    7528   4888   /bin/login
adam     409    0.0        0.1    16908  9032   /lib/systemd/systemd
adam     410    0.0        0.0    168780 3376   (sd-pam)
adam     416    0.0        0.0    6124   4952   -bash
root     2950   0.0        0.0    2620   128    /init
root     2951   0.0        0.0    2620   132    /init
adam     2956   0.0        0.0    6212   5128   -bash
adam     3535   0.0        0.0    6088   5024   bash
